year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2002","ARGENTINA","AR","ROSARIO VERA PENALOZA","AR-46112","LA RIOJA","AR-46","94.4363882545747"
"2002","ARGENTINA","AR","SALAVINA","AR-86168","SANTIAGO DEL ESTERO","AR-86","1736.3874618642762"
"2002","ARGENTINA","AR","SAN ALBERTO","AR-14126","CORDOBA","AR-14","801.2812949859629"
"2002","ARGENTINA","AR","SAN COSME","AR-18133","CORRIENTES","AR-18","118.2346352602337"
"2002","ARGENTINA","AR","SAN FERNANDO","AR-22140","CHACO","AR-22","1873.5055637515059"
"2002","ARGENTINA","AR","SAN JAVIER","AR-14133","CORDOBA","AR-14","525.4789928074268"
"2002","ARGENTINA","AR","SAN JUSTO","AR-82112","SANTA FE","AR-82","737.445657770774"
"2002","ARGENTINA","AR","SAN LORENZO","AR-22147","CHACO","AR-22","326.4087098173359"
"2002","ARGENTINA","AR","SAN MARTIN","AR-86175","SANTIAGO DEL ESTERO","AR-86","471.3509796304738"
"2002","ARGENTINA","AR","SAN PEDRO","AR-38063","JUJUY","AR-38","185.97720167677778"
"2002","ARGENTINA","AR","SANTA ROSA","AR-10098","CATAMARCA","AR-10","6494.561400278292"
"2002","ARGENTINA","AR","SARGENTO CABRAL","AR-22154","CHACO","AR-22","80.24255172908306"
"2002","ARGENTINA","AR","SARMIENTO","AR-86182","SANTIAGO DEL ESTERO","AR-86","325.14955142508535"
"2002","ARGENTINA","AR","SILIPICA","AR-86189","SANTIAGO DEL ESTERO","AR-86","487.8255664212447"
"2002","ARGENTINA","AR","SIMOCA","AR-90091","TUCUMAN","AR-90","431.0484877980515"
"2002","ARGENTINA","AR","SOBREMONTE","AR-14154","CORDOBA","AR-14","1889.6806265410546"
"2002","ARGENTINA","AR","TAPENAGA","AR-22161","CHACO","AR-22","4208.513704773082"
"2002","ARGENTINA","AR","TRANCAS","AR-90112","TUCUMAN","AR-90","307.15223513622493"
"2002","ARGENTINA","AR","TULUMBA","AR-14175","CORDOBA","AR-14","5615.056108974739"
"2002","ARGENTINA","AR","VALLE VIEJO","AR-10112","CATAMARCA","AR-10","7.090739406645298"
"2002","ARGENTINA","AR","VERA","AR-82133","SANTA FE","AR-82","20659.194107952946"
"2003","ARGENTINA","AR","12 DE OCTUBRE","AR-22036","CHACO","AR-22","9585.295498579886"
"2003","ARGENTINA","AR","1º DE MAYO","AR-22126","CHACO","AR-22","3244.8612639432154"
"2003","ARGENTINA","AR","25 DE MAYO","AR-22168","CHACO","AR-22","14430.237867325888"
"2003","ARGENTINA","AR","2 DE ABRIL","AR-22039","CHACO","AR-22","1477.8218155016207"
"2003","ARGENTINA","AR","9 DE JULIO","AR-22105","CHACO","AR-22","4316.797156919627"
"2003","ARGENTINA","AR","9 DE JULIO","AR-82077","SANTA FE","AR-82","7581.889413511665"
"2003","ARGENTINA","AR","AGUIRRE","AR-86007","SANTIAGO DEL ESTERO","AR-86","12044.477199794026"
"2003","ARGENTINA","AR","ALBERDI","AR-86014","SANTIAGO DEL ESTERO","AR-86","27245.252356523524"
"2003","ARGENTINA","AR","ALMIRANTE BROWN","AR-22007","CHACO","AR-22","18251.762024395717"
"2003","ARGENTINA","AR","AMBATO","AR-10007","CATAMARCA","AR-10","23.367110438644886"
"2003","ARGENTINA","AR","ANCASTI","AR-10014","CATAMARCA","AR-10","45.161209090317"
"2003","ARGENTINA","AR","ANTA","AR-66007","SALTA","AR-66","27476.809993829705"
"2003","ARGENTINA","AR","ATAMISQUI","AR-86021","SANTIAGO DEL ESTERO","AR-86","1049.1094225315487"
"2003","ARGENTINA","AR","AVELLANEDA","AR-86028","SANTIAGO DEL ESTERO","AR-86","1875.3582056873274"
